#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
απασχόληση	απασχόληση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
έφερνε			
δροσιά	δροσιά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
βαραίνει	βαραίνω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
οδυσσέα	οδυσσέας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
αφάνταστα	αφάνταστος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
κοιμήθηκε	κοιμούμαι	ρήμα	παθητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
σπιτι	σπίτι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κατηγορούσαν	κατηγορώ	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
κανένα	κανένας	 αντωνυμία	 αρσενικό, αόριστη, ενικός, αιτιατική
κοριτσιού	κορίτσι	ουσιαστικό	ουδέτερο, ενικός, γενική
φωνάζει	φωνάζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
χωράφι	χωράφι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
μέτρο	μέτρο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
άντρας	άντρας	ουσιαστικό	αρσενικό, ενικός, ονομαστική
ημερολογίου	ημερολόγιο	ουσιαστικό	ουδέτερο, ενικός, γενική
χαψιά	χαψιά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
κατατρόμαξε	κατατρομάζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
διεθνή	διεθνής	επίθετο	θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			αρσενικό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			αρσενικό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
απόλυτη	απόλυτος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
απόλυτα	απόλυτος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
μέτρα	μέτρο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	μετρώ	ρήμα	ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
ζηλεύω	ζηλεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
κλοτσούν	κλοτσώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
αναφέρονται			
έρωτα	έρωτας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
έσκυψε	σκύβω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
χτυπηθούνε	χτυπώ	ρήμα	παθητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
τελετουργικά	τελετουργικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
παρουσιάζονται	παρουσιάζω	ρήμα	παθητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
αλλάζει	αλλάζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
κρυψώνες	κρυψώνας	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
	κρυψώνα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
νότο	νότος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
απέρριψαν			
ξαπλωτές	ξαπλωτός	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
ρωτάει	ρωτώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ιδιαιτερότητες	ιδιαιτερότητα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
φρόνιμη	φρόνιμος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
σταυροπόδι	σταυροπόδι	επίρρημα	
πεσμένος			
χελωνίτσες	χελωνίτσα	 ουσιαστικό	 θηλυκό, πληθυντικός, ονομαστική, αιτιατική, κλητική
άσουελοτ			
απελπισία	απελπισία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
κάποιας			
σιλόνα			
ρυθμοί	ρυθμός	ουσιαστικό	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
κατευθύνονται	κατευθύνω	ρήμα	παθητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
άτσαλα	άτσαλος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ξάπλωσε	ξαπλώνω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
μικρότερο			
έχανε			
σου	σου	ουσιαστικό	άκλιτο
αντλήσει	αντλώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
χρώματα	χρώμα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
μιλούσαν	μιλώ	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
επιτρέπεται			
πλεονεκτήματα	πλεονέκτημα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αράξω	αράζω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
ξαπλωμένος	ξαπλώνω	ρήμα	παθητική, παρακείμενος, μετοχή, , 
ψάξει			
μερικές	μερικός	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
